TTL	7418	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7419	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7420	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7421	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7424	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7427	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7430	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7432	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7434	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7436	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7442	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7443	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7444	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7447	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7451	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7454	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7458	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7464	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7474	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7485	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7486	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7487	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74125	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74138	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74139	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74151	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74153	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74157	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74158	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74161	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74163	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74164	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74165	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74166	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74175	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74181	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74182	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74192	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74193	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74194	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74240	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74241	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74244	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74245	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74266	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74273	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74283	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74299	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74377	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74381	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74541	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	74670	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	747266	-1	-	facing,VccGndPorts,ShowInternalStructure,label
HDL-IP	VHDL Entity	-1	-	content,label,labelfont,labelvisible,vhdlSimName
HDL-IP	BLIFCircuit	-1	-	content,label,labelfont,labelvisible
TCL	TclConsoleReds	42	IN:4,IN:4,IN:1,IN:1,IN:1,IN:1,IN:1,IN:1,IN:1,IN:1,IN:1,IN:1,IN:1,IN:1,IN:1,IN:1,IN:1,IN:1,IN:16,IN:16,IN:8,IN:1,IN:1,OUT:1,OUT:1,OUT:1,OUT:1,OUT:1,OUT:1,OUT:1,OUT:1,OUT:1,OUT:1,OUT:1,OUT:1,OUT:1,OUT:1,OUT:1,OUT:1,OUT:16,OUT:16,OUT:1	filePath,label,labelfont
TCL	TclGeneric	-1	-	filePath,content,label,labelfont
