TOOL	TTL	7418	7418: dual 4-input NAND gate(Schmitt trigger)	7418	com.cburch.logisim.std.ttl.Ttl7418
TOOL	TTL	7419	7419: hex inverter (Schmitt trigger)	7419	com.cburch.logisim.std.ttl.Ttl7419
TOOL	TTL	7420	7420: dual 4-input NAND gate	7420	com.cburch.logisim.std.ttl.Ttl7420
TOOL	TTL	7421	7421: dual 4-input AND gate	7421	com.cburch.logisim.std.ttl.Ttl7421
TOOL	TTL	7424	7424: quad 2-input NAND gate (Schmitt trigger)	7424	com.cburch.logisim.std.ttl.Ttl7424
TOOL	TTL	7427	7427: triple 3-input NOR gate	7427	com.cburch.logisim.std.ttl.Ttl7427
TOOL	TTL	7430	7430: single 8-input NAND gate	7430	com.cburch.logisim.std.ttl.Ttl7430
TOOL	TTL	7432	7432: quad 2-input OR gate	7432	com.cburch.logisim.std.ttl.Ttl7432
TOOL	TTL	7434	7434: hex buffer gate	7434	com.cburch.logisim.std.ttl.Ttl7434
TOOL	TTL	7436	7436: quad 2-input NOR gate	7436	com.cburch.logisim.std.ttl.Ttl7436
TOOL	TTL	7442	7442: BCD to decimal decoder	7442	com.cburch.logisim.std.ttl.Ttl7442
TOOL	TTL	7443	7443: Excess-3 to decimal decoder	7443	com.cburch.logisim.std.ttl.Ttl7443
TOOL	TTL	7444	7444: Gray to decimal decoder	7444	com.cburch.logisim.std.ttl.Ttl7444
TOOL	TTL	7447	7447: BCD to 7-segment decoder	7447	com.cburch.logisim.std.ttl.Ttl7447
TOOL	TTL	7451	7451: dual AND-OR-INVERT gate	7451	com.cburch.logisim.std.ttl.Ttl7451
TOOL	TTL	7454	7454: Four wide AND-OR-INVERT gate	7454	com.cburch.logisim.std.ttl.Ttl7454
TOOL	TTL	7458	7458: dual AND-OR gate	7458	com.cburch.logisim.std.ttl.Ttl7458
TOOL	TTL	7464	7464: 4-2-3-2 AND-OR-INVERT gate	7464	com.cburch.logisim.std.ttl.Ttl7464
TOOL	TTL	7474	7474: dual D-Flipflops with preset and clear	7474	com.cburch.logisim.std.ttl.Ttl7474
TOOL	TTL	7485	7485: 4-bit magnitude comparator	7485	com.cburch.logisim.std.ttl.Ttl7485
TOOL	TTL	7486	7486: quad 2-input XOR gate	7486	com.cburch.logisim.std.ttl.Ttl7486
TOOL	TTL	7487	7487: 4-bit True/complement, zero/one elements	7487	com.cburch.logisim.std.ttl.Ttl7487
TOOL	TTL	74125	74125: quad bus buffer, three-state outputs, negative enable	74125	com.cburch.logisim.std.ttl.Ttl74125
TOOL	TTL	74138	74138: 3-line to 8-line decoder	74138	com.cburch.logisim.std.ttl.Ttl74138
TOOL	TTL	74139	74139: Dual 2-line to 4-line decoder	74139	com.cburch.logisim.std.ttl.Ttl74139
TOOL	TTL	74151	74151: 8-line to 1 line data selector	74151	com.cburch.logisim.std.ttl.Ttl74151
TOOL	TTL	74153	74153: dual 4-line to 1 line data selector	74153	com.cburch.logisim.std.ttl.Ttl74153
TOOL	TTL	74157	74157: quad 2-line to 1 line data selector	74157	com.cburch.logisim.std.ttl.Ttl74157
TOOL	TTL	74158	74158: quad 2-line to 1 line data selector, inverted output	74158	com.cburch.logisim.std.ttl.Ttl74158
TOOL	TTL	74161	74161: 4-bit sync counter with async clear	74161	com.cburch.logisim.std.ttl.Ttl74161
TOOL	TTL	74163	74163: 4-bit sync counter with sync clear	74163	com.cburch.logisim.std.ttl.Ttl74163
TOOL	TTL	74164	74164: 8-bit serial-to-parallel shift register	74164	com.cburch.logisim.std.ttl.Ttl74164
TOOL	TTL	74165	74165: 8-bit parallel-to-serial shift register	74165	com.cburch.logisim.std.ttl.Ttl74165
TOOL	TTL	74166	74166: 8-bit parallel-to-serial shift register with asynchronous clear	74166	com.cburch.logisim.std.ttl.Ttl74166
TOOL	TTL	74175	74175: quad D-flipflop, asynchronous reset	74175	com.cburch.logisim.std.ttl.Ttl74175
TOOL	TTL	74181	74181: arithmetic logic unit	74181	com.cburch.logisim.std.ttl.Ttl74181
TOOL	TTL	74182	74182: look-ahead carry generator	74182	com.cburch.logisim.std.ttl.Ttl74182
TOOL	TTL	74192	74192: 4-bit up/down decade counter	74192	com.cburch.logisim.std.ttl.Ttl74192
TOOL	TTL	74193	74193: 4-bit up/down binary counter	74193	com.cburch.logisim.std.ttl.Ttl74193
TOOL	TTL	74194	74194: 4-bit bidirectional universal shift register	74194	com.cburch.logisim.std.ttl.Ttl74194
TOOL	TTL	74240	74240: octal buffers with three-state inverted outputs	74240	com.cburch.logisim.std.ttl.Ttl74240
